Common Name,Scientific Name,Medicinal Properties,Known Hazards,Summary,user_need_tags,effect_tags,preparation_type,warning_level,recommendation_reason
Southernwood,Artemisia abrotanum - L.,Anthelmintic; Antiseptic; Cholagogue; Deobstruent; Emmenagogue; Stomachic; Tonic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222]. Safety during pregnancy is not known.",,"digestion,energy,focus,immune_support","anthelmintic, antiseptic, cholagogue, deobstruent, emmenagogue, stomachic, tonic", , , 
Field Southernwood,Artemisia campestris - L.,Abortifacient; Anthelmintic; Antiseptic; Cholagogue; Deobstruent; Eczema; Emmenagogue; Ophthalmic; Poultice; Stomachic; Tonic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Common names include field wormwood, beach wormwood, northern wormwood, Breckland wormwood, boreal wormwood, Canadian wormwood, field sagewort and field mugwort.","digestion,energy,focus,immune_support,skin","abortifacient, anthelmintic, antiseptic, cholagogue, deobstruent, eczema, emmenagogue, ophthalmic, poultice, stomachic, tonic", , , 
"Russian Tarragon, Tarragon, French Tarragon",Artemisia dracunculoides - Pursh.,Antiscorbutic; Diuretic; Emmenagogue; Hypnotic; Stomachic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Bloom Color: Yellow. Main Bloom Time: Late summer, Mid summer. Form: Upright or erect.","digestion,edema","antiscorbutic, diuretic, emmenagogue, hypnotic, stomachic", , , 
"Tarragon, French Tarragon",Artemisia dracunculus - L.,Antiscorbutic; Appetizer; Diuretic; Emmenagogue; Febrifuge; Hypnotic; Odontalgic; Stomachic; Vermifuge,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Artemisia dracunculus, commonly called wild tarragon, is a polymorphic species that is native to temperate Europe and Asia. It is also found in western North America, though many of these populations may have resulted from introduction and naturalization. 'Sativa' or Artemisia dracunculus var. sativa is commonly called French tarragon and is commonly used as a culinary herb. It is noted for the pungent anise-like flavor and aroma of its leaves. Also known as: Estragon, alse tarragon, green sagewort, silky wormwood, tarragon. Bloom Color: Yellow. Main Bloom Time: Late summer, Mid summer. Form: Upright or erect.","digestion,edema,pain","antiscorbutic, appetizer, diuretic, emmenagogue, febrifuge, hypnotic, odontalgic, stomachic, vermifuge", , , 
"Sand Sage, Sand sagebrush",Artemisia filifolia - Torr.,Carminative; Miscellany; Stomachic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Common names include sand sagebrush, sand sage and sandhill sage, silvery wormwood.",digestion,"carminative, miscellany, stomachic", , , 
"Fringed Wormwood, Prairie sagewort",Artemisia frigida - Willd.,Antispasmodic; Deodorant; Disinfectant; Poultice; Stimulant; Stomachic; Vermifuge; Women's complaints,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Common names include: Fringed Wormwood, Prairie sagewort, fringed sagewort, fringed sagebrush, arctic sage and pasture sage.","digestion,energy,focus,skin","antispasmodic, deodorant, disinfectant, poultice, stimulant, stomachic, vermifuge, women's complaints", , , 
Glacier Wormwood,Artemisia glacialis - L.,Digestive; Expectorant; Sedative; Stomachic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].",,"anxiety,digestion,relaxation,respiratory_support,sleep,stress","digestive, expectorant, sedative, stomachic", , , 
Sea Wormwood,Artemisia maritima - L.,Anthelmintic; Antiseptic; Antispasmodic; Carminative; Cholagogue; Emmenagogue; Febrifuge; Stimulant; Stomachic; Tonic; Vermifuge,"The following notes are from a report on the closely related A. absinthum, they quite possibly also apply to this species. The plant is poisonous if used in large quantities[20, 61]. Even small quantities have been known to cause nervous disorders, convulsions, insomnia etc[222]. Just the scent of the plant has been known to cause headaches and nervousness in some people[169].",,"digestion,energy,focus,immune_support","anthelmintic, antiseptic, antispasmodic, carminative, cholagogue, emmenagogue, febrifuge, stimulant, stomachic, tonic, vermifuge", , , 
"Wormwood, Tilesius' wormwood",Artemisia tilesii - Ledeb.,Analgesic; Antirheumatic; Antitumor; Disinfectant; Haemostatic; Laxative; Poultice; Skin; Stomachic; Tonic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].",,"digestion,energy,focus,pain,skin","analgesic, antirheumatic, antitumor, disinfectant, haemostatic, laxative, poultice, skin, stomachic, tonic", , , 
"Goat's Beard, Bride's feathers",Aruncus dioicus - (Walter.)Fernald.,Antipyretic; Astringent; Birthing aid; Salve; Stings; Stomachic; VD,Cyanogenic glycosides are found in the leaves[74].,"Bloom Color: White. Main Bloom Time: Early summer, Mid summer. Form: Upright or erect.",digestion,"antipyretic, astringent, birthing aid, salve, stings, stomachic, vd", , , 
